,adversary,target,technique,publish date,motive,interesting_insight
695,an Iran-linked cyber espionage group,"government institutions, defense companies, IT firms",spear phishing and watering hole attacks,July 2017,cyber espionage,"The group has been active since 2013 and has targeted entities in Israel, Saudi Arabia, the US, Germany, Jordan, and Turkey"
696,Unknown,US energy facilities including the Wolf Creek Nuclear Operating Corporation,Unknown,July 2017,Unknown,The FBI and DHS announced that hackers had been targeting US energy facilities
697,North Korea,South Korea,malware campaign,July 2017,Unknown,The malware used had previously been used in three other campaigns linked to North Korea
698,Unknown,"A partner of UniCredit, Italy’s largest bank",Unknown,July 2017,Unknown,"Gained access to loan and biographical data from 400,000 client accounts"
699,Russian hackers,Wi-Fi servers in European and Middle Eastern hotels,leaked NSA tools,July 2017,targeting top diplomats and industrial leaders,
700,hackers in the United Arab Emirates,Qatari state-run media websites,posting fake news and attacking,July 2017,to widen a rift between Gulf states,The Qatari government accused
701,Mexican government,"human rights lawyers, journalists, and anti-corruption activists",spyware,June 2017,Unknown,The New York Times revealed this information
702,North Korean government,"media, financial, aerospace, and critical infrastructure organizations worldwide",DDoS botnet infrastructure,June 2017,Unknown,US-CERT identified the North Korean government as being behind the attack
703,A Russia-linked hacking group,Montenegro,spear-phishing campaign,June 2017,the country announced its decision to join NATO,
704,Unknown,Danish shipping giant Maersk,NotPetya ransomware attack,June 2017,Unknown,"The attack shut down the port terminals of Maersk for two days, causing an estimated $300 million in associated costs"
705,Russian hackers,"Ukrainian infrastructure, including power companies, airports, and public transit",updated ransomware program,June 2017,,
706,Iranian state actors,90 British members of parliament,brute-force attack,June 2017,Unknown,The email accounts of the members of parliament were hacked
707,Boyusec,three companies,compromised the networks,May 2017,"gained access to confidential documents and data, including sensitive internal communications, usernames and passwords, and business and commercial information",The attack started in 2011 and lasted for a multi-year period
708,an Iran-linked group,"multiple Israeli IT vendors, financial institutions and the national post office",hacking campaign,May 2017,Unknown,Unknown
709,Shadow Brokers,99 countries,ransomware campaign,May 2017,Unknown,The attack used a vulnerability revealed in the Shadow Brokers’ April 2017 dump of NSA tools
710,Israel,Lebanese telecoms network,sending audio and WhatsApp messages,May 2017,claiming that Hezbollah’s leader was behind the death,"10,000 people were targeted"
711,An Iranian hacking group,a U.S. military contractor,using Russian tools,May 2017,,
712,Unknown (linked to Russia),Campaign of French president-elect Emmanuel Macron,Email and document leak,May 2017,Influence election,The leak totaled 9 gigabytes
713,Iranian cyberattack campaign,"120 targets in the government, high-tech, medical, and education sectors",Unknown,April 2017,Unknown,The Israeli Cyber Defense Authority defended the attack
714,state-sponsored hackers,EirGrid,virtual wiretap,April 2017,Unknown,The attack allowed access to the company’s unencrypted communications
715,The Lazarus Group,US defense contractors,spear phishing campaign,April 2017,Unknown,The Lazarus Group is thought to be associated with North Korea
716,Unknown group from China,"Construction, engineering, aerospace and telecom companies, as well as government agencies in the U.S., Europe, and Japan",Cyber-espionage,April 2017,Unknown,The campaign is growing
717,Russia espionage group,Defense Ministry email accounts,Unknown,April 2017,Unknown,The group was unable to retrieve classified information
718,The Shadow Brokers,NSA,Hacking tools,April 2017,Unknown,The NSA had gained access to SWIFT messages
719,Chinese,"South Korean military, government and defense industry networks",Unknown,April 2017,Deployment of the THAAD missile defense system in South Korea,The rate of attacks increased after the February announcement of the THAAD deployment
720,Russian hackers,Twitter users in the Department of Defense,spear-phishing messages,March 2017,gain access to the victim’s device and Twitter account,"More than 10,000 Twitter users were targeted"
721,two Russian intelligence agents and two criminal hackers,Yahoo,not specified,September 2014,not specified,The hack compromised 500 million user accounts
722,96 suspects,"servers of social media, gaming and video streaming sites",hacking,March 2017,"stealing personal information, and posting the information for sale on online forums",Chinese police arrested the suspects
723,Wikileaks,CIA,Releasing hacking tools,March 2017,Unknown,The release reflected several hundred million lines of CIA-developed code
724,An Iranian hacker group,actors associated with the U.S. defense industrial base and at least one human rights activist,campaign to steal credentials and other data,February 2017,to steal credentials and other data,
725,An Iranian cyber espionage campaign,"the energy, government, and technology sectors of Saudi Arabia",Unknown,February 2017,Unknown,Unknown
726,A suspected Russian hacker,"60 universities and US government organizations including HUD, NOAA, Cornell University, and NYU",SQL injections,February 2017,Unknown,This follows up a hack by the same actor against the U.S. Electoral Assistance Commission in December 2016
727,Unknown,Indian Central Bureau of Investigation and Army officers,phishing campaign,February 2017,Unknown,The attack was purportedly mounted by Pakistan
728,Unknown,Singaporean military’s web access system,Unknown,February 2017,Likely state sponsored,Stole the personal information of 850 people
729,Unknown,"70 mostly Ukrainian targets in the fields of critical infrastructure, news media, and scientific research",sophisticated malware operation,February 2017,Unknown,Extracted over 600 gigabytes of data
730,Russia,Swedish foreign policy institute,"information warfare campaign, using fake news, false documents, and disinformation",January 2017,weaken public support for Swedish policies,
